CustomerKey,CurrentAge,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,NumberCarsOwned,TotalPaid,DateDiffMonthPlusOne,AvgSpendFromFirstAndLast,BikeBuyer
11104,45,M,70000,0,0,Bachelors,Professional,1,9031.1984,26,347.3537,1
11105,50,F,70000,0,0,Bachelors,Professional,1,8946.0692,26,344.0795,1
11106,50,M,70000,0,0,Bachelors,Professional,1,8927.3504,26,343.3596,1
11107,44,F,90000,1,0,Bachelors,Professional,1,9028.9663,26,347.2679,1
11108,51,F,70000,0,0,Bachelors,Professional,2,8977.0644,26,345.2717,1
11109,40,M,70000,0,0,Bachelors,Professional,2,9110.7363,26,350.4129,1
11110,53,M,60000,1,0,Partial College,Skilled Manual,1,8942.7984,28,319.3856,1
11111,53,F,60000,1,0,Partial College,Skilled Manual,1,8991.3854,28,321.1209,1
11112,52,F,60000,1,0,Partial College,Skilled Manual,1,9165.9973,29,316.0688,1
11113,47,M,70000,5,4,Bachelors,Professional,2,121.4177,3,40.4725,0
11114,53,F,70000,5,4,Partial College,Skilled Manual,2,135.7938,10,13.5793,0
11115,53,M,70000,5,4,Partial College,Skilled Manual,2,125.6498,12,10.4708,0
11116,41,M,70000,5,4,Partial College,Skilled Manual,2,164.3138,8,20.5392,0
11117,54,F,70000,5,4,Partial College,Skilled Manual,3,9044.4143,26,347.862,1
11118,58,M,80000,1,0,Partial College,Skilled Manual,1,136.7994,7,19.5427,0
11119,80,M,30000,2,0,Partial College,Clerical,2,94.1683,10,9.4168,0
11120,78,F,40000,2,0,Bachelors,Management,1,9107.9519,29,314.0673,1
11121,54,M,70000,5,4,Partial College,Skilled Manual,3,64.2671,6,10.7111,0
11122,55,M,70000,5,4,Partial College,Skilled Manual,3,47.4378,7,6.7768,0
11123,55,M,70000,5,4,Partial College,Skilled Manual,3,165.5736,10,16.5573,0
11124,52,M,80000,1,0,Partial College,Skilled Manual,1,8982.5674,26,345.4833,1
11125,59,F,70000,1,0,Partial College,Skilled Manual,1,88.0578,7,12.5796,0
11126,66,M,10000,2,1,High School,Skilled Manual,2,5494.4692,31,177.2409,1
11127,39,F,40000,0,0,High School,Skilled Manual,1,48.598,7,6.9425,0
11128,39,F,40000,0,0,High School,Skilled Manual,1,159.054,3,53.018,0
11129,39,F,40000,0,0,High School,Skilled Manual,1,6489.9524,18,360.5529,1
11130,35,F,30000,0,0,High School,Skilled Manual,2,41.2055,1,41.2055,0
11131,35,F,30000,0,0,High School,Skilled Manual,2,183.3309,4,45.8327,0
11132,34,F,30000,0,0,High School,Skilled Manual,2,2620.9939,1,2620.9939,1
11133,34,F,30000,0,0,Partial High School,Clerical,2,79.5159,1,79.5159,0
11134,63,M,10000,5,0,High School,Skilled Manual,2,5427.5723,31,175.0829,1
11135,35,M,30000,0,0,Partial High School,Clerical,2,2580.142,1,2580.142,1
11136,36,F,40000,0,0,High School,Skilled Manual,2,2630.4194,1,2630.4194,1
11137,36,F,40000,0,0,High School,Skilled Manual,2,223.84,7,31.9771,0
11138,36,F,40000,0,0,High School,Skilled Manual,2,87.262,4,21.8155,0
11139,71,F,30000,2,0,Partial College,Clerical,2,92.787,2,46.3935,0
11140,38,M,30000,0,0,Partial High School,Clerical,2,44.189,1,44.189,0
11141,38,F,40000,0,0,High School,Skilled Manual,2,125.926,5,25.1852,0
11142,37,M,40000,0,0,High School,Skilled Manual,2,1083.7525,12,90.3127,0
11143,38,M,40000,0,0,High School,Skilled Manual,2,53.659,7,7.6655,0
11144,35,M,40000,0,0,High School,Skilled Manual,2,2651.967,1,2651.967,1
11145,35,F,40000,0,0,High School,Skilled Manual,2,2552.517,1,2552.517,1
11146,75,F,40000,2,0,Bachelors,Management,2,124.788,8,15.5985,0
11147,76,M,60000,2,0,Graduate Degree,Management,1,9056.0278,30,301.8675,1
11148,73,M,40000,2,0,Bachelors,Management,2,139.4955,10,13.9495,0
11149,74,M,40000,2,0,Bachelors,Management,2,45.5925,6,7.5987,0
11150,74,M,40000,2,0,Bachelors,Management,2,212.6245,5,42.5249,0
11151,73,F,60000,2,0,Graduate Degree,Management,1,8936.4778,30,297.8825,1
11152,39,M,40000,0,0,High School,Skilled Manual,2,2535.964,1,2535.964,1
11153,39,F,40000,0,0,High School,Skilled Manual,2,121.296,1,121.296,0
11154,38,F,40000,0,0,Partial College,Skilled Manual,1,2563.589,1,2563.589,1
11155,39,M,40000,0,0,Partial College,Skilled Manual,1,2563.589,1,2563.589,1
11156,39,F,40000,0,0,Partial College,Skilled Manual,1,2640.917,1,2640.917,1
11157,40,F,40000,0,0,High School,Skilled Manual,2,45.6145,3,15.2048,0
11158,39,M,40000,0,0,High School,Skilled Manual,2,2647.5359,1,2647.5359,1
11159,39,F,40000,0,0,High School,Skilled Manual,2,53.659,3,17.8863,0
11160,41,M,40000,0,0,Partial College,Skilled Manual,1,2566.1195,1,2566.1195,1
11161,41,F,40000,0,0,Partial College,Skilled Manual,1,103.815,6,17.3025,0
11162,41,M,40000,0,0,Partial College,Skilled Manual,1,2574.628,1,2574.628,1
11163,40,M,40000,0,0,Partial College,Skilled Manual,1,51.1285,4,12.7821,0
11164,41,M,40000,0,0,Partial College,Skilled Manual,1,159.96,5,31.992,0
11165,41,F,60000,0,0,Partial College,Skilled Manual,1,113.2515,2,56.6257,0
11166,43,F,70000,0,0,Partial College,Skilled Manual,2,97.196,3,32.3986,0
11167,42,F,80000,0,0,Bachelors,Management,1,3454.5948,11,314.054,1
11168,47,M,80000,0,0,Bachelors,Management,1,3465.9322,11,315.0847,1
11169,47,M,90000,4,4,Bachelors,Management,1,89.7925,5,17.9585,0
11170,47,F,90000,4,4,Bachelors,Management,1,173.7394,5,34.7478,0
11171,42,M,100000,1,0,Bachelors,Management,2,7421.7881,28,265.0638,1
11172,47,F,100000,1,0,Bachelors,Management,2,142.479,9,15.831,0
11173,47,F,110000,0,0,Graduate Degree,Management,4,113.2515,10,11.3251,0
11174,47,M,110000,0,1,Graduate Degree,Management,0,53.659,1,53.659,0
11175,52,M,70000,0,0,Partial College,Skilled Manual,2,7415.1581,28,264.827,1
11176,41,M,90000,4,4,Bachelors,Management,1,1458.6137,12,121.5511,0
11177,72,M,110000,2,4,Graduate Degree,Management,2,149.4515,8,18.6814,0
11178,66,M,100000,2,3,Graduate Degree,Management,3,159.96,4,39.99,0
11179,61,F,120000,2,4,Graduate Degree,Management,3,138.6114,11,12.601,0
11180,72,F,160000,1,3,Bachelors,Management,4,152.9875,7,21.8553,0
11181,60,M,170000,2,3,Graduate Degree,Management,2,45.6145,3,15.2048,0
11182,70,F,70000,4,0,Bachelors,Management,2,89.7925,6,14.9654,0
11183,70,F,70000,4,0,Bachelors,Management,2,51.1285,3,17.0428,0
11184,65,F,70000,4,0,Bachelors,Management,2,75.4164,3,25.1388,0
11185,70,F,70000,4,0,Bachelors,Management,2,1786.0255,12,148.8354,0
11186,71,F,70000,4,0,Bachelors,Management,2,45.6145,4,11.4036,0
11187,71,F,60000,4,0,Graduate Degree,Management,2,118.7655,5,23.7531,0
11188,70,F,60000,4,0,Graduate Degree,Management,2,89.7925,3,29.9308,0
11189,70,M,60000,4,0,Graduate Degree,Management,2,6568.3633,19,345.7033,1
11190,71,M,70000,5,0,Bachelors,Management,2,51.1285,6,8.5214,0
11191,69,F,70000,5,0,Bachelors,Management,3,7451.6562,28,266.1305,1
11192,69,M,60000,4,0,Bachelors,Management,2,125.926,4,31.4815,0
11193,70,M,60000,4,0,Bachelors,Management,2,45.6145,7,6.5163,0
11194,70,F,60000,4,0,Bachelors,Management,2,116.854,10,11.6854,0
11195,69,F,60000,5,0,Bachelors,Management,3,116.854,7,16.6934,0
11196,69,M,60000,5,0,Bachelors,Management,3,179.3195,7,25.617,0
11197,69,F,70000,3,1,Bachelors,Management,1,229.354,3,76.4513,0
11198,68,F,70000,4,1,Bachelors,Management,1,108.8095,1,108.8095,0
11199,63,F,70000,4,1,Bachelors,Management,1,145.5839,8,18.1979,0
11200,67,M,70000,4,1,Bachelors,Management,1,1617.0373,12,134.7531,0
11201,67,F,70000,4,1,Bachelors,Management,1,199.9389,3,66.6463,0
11202,62,F,80000,5,0,Bachelors,Management,2,81.748,1,81.748,0
11203,61,M,40000,2,1,High School,Professional,2,885.9573,11,80.5415,0
11204,67,F,40000,2,1,High School,Professional,2,85.3835,4,21.3458,0
11205,66,F,40000,2,1,High School,Professional,2,41.2055,4,10.3013,0
11206,66,M,60000,2,1,Partial College,Professional,1,85.3835,1,85.3835,0
11207,66,F,60000,2,1,Partial College,Professional,1,85.3835,10,8.5383,0
11208,67,F,60000,2,1,Bachelors,Management,0,148.3244,7,21.1892,0
11209,67,F,60000,2,1,Bachelors,Management,0,41.2055,11,3.7459,0
11210,67,M,70000,4,1,Partial College,Professional,2,78.19,5,15.638,0
11211,60,F,40000,2,1,High School,Professional,2,876.8743,12,73.0728,0
11212,65,F,40000,2,1,High School,Professional,2,914.0465,13,70.3112,0
11213,66,F,60000,2,1,Partial College,Professional,2,85.3835,7,12.1976,0
11214,65,M,60000,2,1,Partial College,Professional,2,179.3195,4,44.8298,0
11215,59,F,40000,2,1,Partial High School,Skilled Manual,2,1276.851,11,116.0773,0
11216,65,F,60000,2,1,Partial College,Professional,2,6572.8054,19,345.9371,1
11217,65,F,60000,2,1,Partial College,Professional,2,6578.3414,19,346.2284,1
11218,59,F,60000,2,1,Partial College,Professional,2,43.736,12,3.6446,0
11219,64,M,60000,2,1,High School,Professional,2,43.736,4,10.934,0
11220,59,F,60000,2,1,Partial College,Professional,1,55.5043,10,5.5504,0
11221,65,M,70000,4,2,Partial College,Professional,1,51.1285,7,7.304,0
11222,64,F,80000,3,1,Bachelors,Management,1,229.796,1,229.796,0
11223,63,F,70000,2,1,High School,Professional,2,1331.9474,13,102.4574,0
11224,63,F,70000,2,1,High School,Professional,2,7387.5772,29,254.744,1
11225,58,F,60000,2,1,Partial College,Professional,1,80.9414,4,20.2353,0
11226,58,F,60000,2,1,Partial College,Professional,1,41.2055,2,20.6027,0
11227,58,M,60000,2,1,Partial College,Professional,2,6530.7933,19,343.7259,1
11228,64,F,60000,2,1,Partial College,Professional,2,85.3835,4,21.3458,0
11229,63,M,70000,4,2,Partial College,Professional,1,89.7925,7,12.8275,0
11230,64,F,70000,4,2,Partial College,Professional,2,59.9133,6,9.9855,0
11231,57,M,60000,2,1,High School,Professional,2,71.0074,10,7.1007,0
11232,62,F,60000,3,1,High School,Professional,2,43.736,3,14.5786,0
11233,57,M,70000,4,2,Partial College,Professional,2,198.2704,5,39.654,0
11234,62,F,70000,4,2,Partial College,Professional,2,84.2785,8,10.5348,0
11235,63,M,70000,4,2,Partial College,Professional,2,152.9875,7,21.8553,0
11236,63,M,70000,5,2,Partial College,Professional,2,125.926,4,31.4815,0
11237,56,M,130000,2,3,Bachelors,Management,4,11675.8502,27,432.4388,1
11238,56,F,130000,2,3,Bachelors,Management,4,8334.7613,28,297.67,1
11239,51,F,130000,2,4,Partial College,Professional,2,8300.2633,29,286.2159,1
11240,56,F,160000,2,3,Partial College,Professional,4,8382.7848,28,299.3851,1
11241,46,F,100000,2,3,Partial College,Professional,4,12673.4542,14,905.2467,1
11242,57,M,110000,2,4,Partial College,Professional,3,12230.1497,16,764.3843,1
11243,57,F,150000,2,3,Partial College,Professional,3,7916.4968,29,272.9826,1
11244,52,F,170000,2,3,Bachelors,Management,3,7929.2043,30,264.3068,1
11245,58,M,120000,3,4,High School,Professional,4,11691.2872,28,417.5459,1
11246,58,F,120000,3,4,High School,Professional,4,11685.74,27,432.8051,1
11247,59,F,130000,3,4,Partial College,Professional,3,7880.3191,31,254.2038,1
11248,54,M,110000,3,4,Partial College,Professional,4,42.5095,1,42.5095,0
11249,54,F,130000,3,4,Partial College,Professional,3,10928.7489,24,455.3645,1
11250,54,F,170000,3,4,High School,Professional,2,7863.4568,30,262.1152,1
11251,82,M,30000,4,0,High School,Professional,2,2562.451,1,2562.451,1
11252,83,M,90000,3,0,Graduate Degree,Management,1,7387.5441,29,254.7429,1
11253,71,M,60000,2,0,Graduate Degree,Management,2,769.7555,10,76.9755,0
11254,82,M,70000,4,0,Graduate Degree,Management,2,225.3319,2,112.6659,0
11255,82,M,70000,4,0,Graduate Degree,Management,2,125.926,2,62.963,0
11256,81,F,70000,4,0,Graduate Degree,Management,2,89.7925,7,12.8275,0
11257,82,F,120000,1,2,Graduate Degree,Management,4,7378.5052,29,254.4312,1
11258,82,M,120000,1,2,Graduate Degree,Management,4,54.3993,3,18.1331,0
11259,50,F,100000,4,1,Partial College,Professional,4,7481.5132,28,267.1969,1
11260,44,F,110000,2,2,Bachelors,Management,3,89.7925,5,17.9585,0
11261,50,F,130000,1,2,Graduate Degree,Management,1,7348.9132,28,262.4611,1
11262,45,F,80000,4,3,Bachelors,Management,0,1245.139,12,103.7615,0
11263,50,F,90000,5,5,Partial College,Professional,3,7463.2367,29,257.3529,1
11264,51,M,90000,5,5,Partial College,Professional,3,3516.4087,11,319.6735,1
11265,50,F,90000,5,5,Partial College,Professional,3,2598.9159,1,2598.9159,1
11266,51,F,90000,0,0,Partial College,Professional,1,6544.0644,17,384.9449,1
11267,45,M,120000,4,2,Partial College,Professional,4,6567.2694,17,386.3099,1
11268,51,F,130000,2,2,Graduate Degree,Management,2,108.5664,7,15.5094,0
11269,45,M,130000,2,2,Graduate Degree,Management,2,46.7195,2,23.3597,0
11270,45,M,130000,2,2,Graduate Degree,Management,3,6612.5633,17,388.9743,1
11271,51,F,150000,2,0,Bachelors,Management,4,6600.4304,17,388.2606,1
11272,58,F,70000,4,3,Partial College,Professional,0,6602.6293,17,388.3899,1
11273,58,M,90000,2,1,Partial College,Professional,0,301.9194,1,301.9194,0
11274,81,M,50000,2,0,Graduate Degree,Management,2,6506.5054,19,342.4476,1
11275,81,F,80000,4,0,Graduate Degree,Management,2,6580.5293,18,365.5849,1
11276,46,F,80000,4,3,Partial College,Professional,2,1092.0962,13,84.0074,0
11277,52,M,80000,4,3,Partial College,Professional,2,1585.6668,12,132.1389,0
11278,51,M,90000,0,0,Partial College,Professional,1,6528.6164,17,384.0362,1
11279,46,F,90000,0,0,Partial College,Professional,1,49.25,4,12.3125,0
11280,51,M,90000,0,0,Partial College,Professional,1,85.3835,2,42.6917,0
11281,46,F,110000,4,2,Bachelors,Management,4,6542.9152,17,384.8773,1
11282,53,M,90000,5,4,Partial College,Professional,4,6628.5968,18,368.2553,1
11283,52,M,110000,1,3,Bachelors,Management,2,49.25,4,12.3125,0
11284,53,F,110000,1,3,Bachelors,Management,2,61.3056,4,15.3264,0
11285,47,M,120000,1,3,Partial College,Professional,4,141.1749,4,35.2937,0
11286,53,M,170000,0,0,Graduate Degree,Management,4,6579.4133,17,387.0243,1
11287,54,M,70000,5,4,Partial College,Professional,3,1289.6152,13,99.2011,0
11288,42,F,110000,1,3,Bachelors,Management,3,85.3835,6,14.2305,0
11289,48,F,130000,1,3,Bachelors,Management,1,6525.5556,17,383.8562,1
11290,48,F,130000,1,3,Bachelors,Management,3,6556.2414,17,385.6612,1
11291,48,F,130000,1,3,Bachelors,Management,3,6489.9524,17,381.7619,1
11292,53,M,150000,1,2,Partial College,Professional,3,6530.7933,16,408.1745,1
11293,60,M,60000,2,0,High School,Professional,2,94.1683,2,47.0841,0
11294,59,M,60000,2,0,High School,Professional,2,46.7195,5,9.3439,0
11295,61,F,80000,2,0,Partial High School,Skilled Manual,2,6694.3664,17,393.7862,1
11296,79,F,50000,2,0,Graduate Degree,Management,2,6516.7708,17,383.3394,1
11297,80,M,70000,4,0,Graduate Degree,Management,2,6572.8054,18,365.1558,1
11298,80,M,70000,4,0,Graduate Degree,Management,2,6544.0644,18,363.5591,1
11299,79,M,70000,4,0,Graduate Degree,Management,2,6646.8403,18,369.2689,1
11300,55,M,80000,5,4,Partial College,Professional,3,1658.0776,12,138.1731,0
11301,55,M,80000,5,4,Partial College,Professional,4,145.0425,5,29.0085,0
11302,49,M,90000,4,3,High School,Professional,3,6561.7001,18,364.5388,1
11303,54,F,90000,4,3,High School,Professional,3,6492.4829,18,360.6934,1
11304,49,F,100000,0,3,Partial College,Professional,0,135.0422,2,67.5211,0
11305,55,M,110000,3,3,Partial College,Professional,4,85.3835,6,14.2305,0
11306,55,M,110000,3,3,Partial College,Professional,4,46.7195,4,11.6798,0
11307,55,M,80000,2,0,Partial High School,Skilled Manual,2,6590.4633,18,366.1368,1
11308,61,M,60000,2,0,High School,Professional,2,104.1574,5,20.8314,0
11309,61,F,60000,2,0,High School,Professional,2,46.7195,7,6.6742,0
11310,56,F,70000,3,0,Graduate Degree,Management,2,85.3835,5,17.0767,0
11311,61,F,70000,3,0,Graduate Degree,Management,2,85.3835,6,14.2305,0
11312,62,F,70000,3,0,Graduate Degree,Management,2,46.7195,2,23.3597,0
11313,62,M,70000,3,0,Graduate Degree,Management,2,49.25,7,7.0357,0
11314,50,F,70000,3,0,Graduate Degree,Management,2,52.5208,11,4.7746,0
11315,61,F,70000,3,0,Graduate Degree,Management,2,46.7195,8,5.8399,0
11316,61,M,60000,3,0,Graduate Degree,Management,2,2596.728,1,2596.728,1
11317,57,F,40000,3,0,Partial College,Professional,2,6489.9524,18,360.5529,1
11318,62,F,40000,3,0,Partial College,Professional,2,49.25,2,24.625,0
11319,72,F,70000,4,0,Graduate Degree,Management,2,6552.9043,18,364.0502,1
11320,78,F,80000,4,0,Graduate Degree,Management,2,79.7922,3,26.5974,0
11321,76,M,90000,5,0,Bachelors,Management,2,41.2055,4,10.3013,0
11322,77,F,90000,5,0,Bachelors,Management,2,49.25,3,16.4166,0
11323,77,M,120000,2,4,Graduate Degree,Management,3,6712.3669,17,394.8451,1
11324,76,M,90000,5,0,Bachelors,Management,2,6569.4793,18,364.971,1
11325,76,M,90000,5,0,Bachelors,Management,2,6678.8413,17,392.873,1
11326,76,M,130000,2,3,Bachelors,Management,4,6572.8054,18,365.1558,1
11327,75,M,90000,5,0,Bachelors,Management,2,6536.6719,18,363.1484,1
11328,75,M,90000,5,0,Bachelors,Management,2,5213.4344,4,1303.3586,1
11329,74,M,90000,5,0,Bachelors,Management,2,6517.5774,18,362.0876,1
11330,75,M,110000,2,4,Graduate Degree,Management,1,1255.6693,12,104.6391,0
11331,46,F,90000,4,4,Partial College,Skilled Manual,2,1468.8901,12,122.4075,0
11332,52,F,10000,1,0,Graduate Degree,Manual,0,6359.242,16,397.4526,1
11333,52,F,20000,1,0,Graduate Degree,Clerical,0,9020.4578,29,311.0502,1
11334,54,F,10000,1,0,Bachelors,Manual,0,9010.1924,29,310.6962,1
11335,43,F,10000,1,0,Bachelors,Manual,0,6347.3964,16,396.7122,1
11336,47,M,20000,1,0,Graduate Degree,Clerical,0,4907.7247,5,981.5449,1
11337,53,M,10000,1,0,Bachelors,Manual,0,9019.0104,29,311.0003,1
11338,48,M,20000,1,0,Graduate Degree,Clerical,0,6348.17,15,423.2113,1
